time,open,high,low,close,
2023-01-03,380.15,382.19,373.68,376.64,-154400000
2023-01-04,378.97,381.64,375.83,379.55,32830000
2023-01-05,377.53,377.65,374.60,375.21,-213710000
2023-01-06,378.41,384.98,375.25,383.82,36950000
2023-01-09,386.08,389.38,383.41,383.60,-109820000
2023-01-10,383.00,386.36,382.03,386.29,49010000
2023-01-11,387.92,391.26,387.08,391.18,-4350000
2023-01-12,392.31,394.11,388.11,392.60,-121240000
2023-01-13,389.30,394.72,389.02,394.12,46010000
2023-01-17,394.11,395.84,392.70,393.40,-701680000
2023-01-18,394.63,395.73,386.98,387.19,-719480000
2023-01-19,385.09,386.79,383.01,384.37,-493250000
2023-01-20,385.82,391.69,384.12,391.53,-218360000
2023-01-23,392.36,398.22,391.38,396.23,178890000
2023-01-24,394.50,396.75,393.27,395.81,-261700000
2023-01-25,391.60,396.30,389.24,395.95,-214420000
2023-01-26,398.70,400.47,395.64,400.31,30950000
2023-01-27,399.22,403.68,399.01,401.23,-119700000
2023-01-30,398.38,400.68,395.89,396.19,-385790000
2023-01-31,396.73,402.07,396.37,402.02,308460000
2023-02-01,400.76,409.13,397.93,406.29,336310000
2023-02-02,410.31,413.72,408.35,412.20,95860000
2023-02-03,407.07,412.39,406.58,407.82,-31760000
2023-02-06,405.29,406.77,403.62,405.33,-266030000
2023-02-07,404.38,411.92,403.10,410.63,65940000
2023-02-08,408.59,409.98,405.43,406.14,70430000
2023-02-09,409.86,410.02,401.35,402.62,91640000
2023-02-10,401.40,403.96,400.56,403.56,-319420000
2023-02-13,404.23,408.44,403.76,408.30,-349940000
2023-02-14,406.72,410.49,404.03,408.11,-444100000
2023-02-15,405.84,409.51,404.97,409.43,362760000
2023-02-16,404.30,408.38,403.66,403.80,-364930000
2023-02-17,401.60,403.04,399.61,402.79,-33480000
2023-02-21,398.63,399.72,394.44,394.71,-585770000
2023-02-22,395.13,396.73,392.66,394.16,-153770330
2023-02-23,397.15,397.78,391.90,396.26,-104650000
2023-02-24,391.08,392.89,389.32,392.03,-591920000
2023-02-27,395.48,396.88,392.39,393.36,198030000
2023-02-28,392.87,394.90,391.80,391.91,-116530000
2023-03-01,391.07,392.33,389.06,390.41,-139590000
2023-03-02,388.37,394.31,388.02,393.44,70430000
2023-03-03,395.32,400.01,394.65,399.75,-31340000
2023-03-06,400.60,402.98,399.57,400.03,202120000
2023-03-07,399.98,400.23,393.26,393.90,-575570000
2023-03-08,394.02,395.32,392.24,394.54,83730000
2023-03-09,395.35,397.07,386.24,387.26,-744610000
2023-03-10,386.70,388.84,380.10,381.67,-132400000
2023-03-13,377.62,386.10,376.47,381.13,197990000
2023-03-14,386.21,389.13,382.80,387.43,-19840000
2023-03-15,381.65,385.21,379.50,385.01,-297550000
2023-03-16,382.57,392.12,382.05,391.76,635790000
2023-03-17,390.39,391.56,385.75,387.18,15890000
2023-03-20,387.98,391.33,387.26,390.90,325140000
2023-03-21,394.38,396.53,392.73,396.04,191720000
2023-03-22,395.86,399.59,389.25,389.29,-394990000
2023-03-23,392.24,396.41,387.54,390.34,-252530000
2023-03-24,389.02,392.99,386.59,392.90,-139320000
2023-03-27,395.25,396.05,392.71,393.63,24820000
2023-03-28,392.92,393.63,390.85,392.75,44270000
2023-03-29,397.04,398.71,395.81,398.46,269310000
2023-03-30,401.18,401.44,398.87,400.79,114610000
2023-03-31,401.74,406.75,401.64,406.44,-300010000
2023-04-03,405.90,408.41,405.50,407.99,-70660000
2023-04-04,408.65,408.95,404.31,405.73,-221470000
2023-04-05,404.97,405.76,402.96,404.66,-535550000
2023-04-06,403.84,406.53,402.76,406.24,116210000
2023-04-10,403.68,406.74,403.05,406.66,-113750000
2023-04-11,407.30,408.22,405.97,406.77,-90400000
2023-04-12,408.90,409.20,404.50,405.11,-231550000
2023-04-13,406.23,410.86,405.05,410.49,53630000
2023-04-14,409.84,412.10,407.11,409.49,-203950000
2023-04-17,409.40,410.98,408.12,410.96,-194400000
2023-04-18,412.59,412.73,409.81,411.23,-413260000
2023-04-19,409.25,412.09,409.19,411.16,53740000
2023-04-20,408.25,410.72,407.31,408.91,-80360000
2023-04-21,409.22,409.71,407.22,409.23,277260000
2023-04-24,409.02,410.09,407.64,409.66,-45450000
2023-04-25,407.62,408.20,403.10,403.15,-397590000
2023-04-26,403.79,404.90,400.87,401.45,-329920000
2023-04-27,404.07,409.72,403.81,409.44,192157490
2023-04-28,408.53,412.94,408.47,412.93,547740000
2023-05-01,412.48,414.61,412.27,412.52,-846660000
2023-05-02,411.78,411.83,404.88,407.88,-370110000
2023-05-03,408.40,410.89,404.83,405.08,-237220000
2023-05-04,404.00,404.34,400.83,402.21,-180220000
2023-05-05,405.96,410.74,405.70,409.66,-7120000
2023-05-08,409.99,410.26,408.32,409.77,-142470000
2023-05-09,408.17,409.12,407.73,407.97,-297200000
2023-05-10,410.90,411.55,405.92,409.88,-398380000
2023-05-11,408.98,409.46,407.02,409.16,-140450000
2023-05-12,410.44,410.66,406.12,408.62,-273370000
2023-05-15,409.25,410.45,407.27,410.03,-22040000
2023-05-16,408.89,409.84,407.28,407.29,-108660000
2023-05-17,409.38,412.86,407.68,412.24,450940000
2023-05-18,411.91,416.65,411.68,416.21,898430000
2023-05-19,417.14,417.69,414.34,415.60,21780000
2023-05-22,415.62,417.36,414.34,415.77,127620000
2023-05-23,414.08,415.71,410.70,411.11,198140000
2023-05-24,409.45,409.85,406.93,408.13,-98260000
2023-05-25,411.75,413.16,409.44,411.66,-452660000
2023-05-26,412.34,417.74,412.26,416.99,177160000
2023-05-30,418.99,419.54,415.72,417.15,260040000
2023-05-31,415.27,416.20,413.22,414.84,-513820000
2023-06-01,415.08,419.87,413.79,418.78,-130080000
2023-06-02,421.44,425.65,420.90,424.84,143110000
2023-06-05,425.19,426.57,423.30,424.02,543540000
2023-06-06,423.60,425.49,422.92,424.95,347820000
2023-06-07,425.35,426.53,423.04,423.48,515320000
2023-06-08,423.55,426.51,422.75,426.04,-126470000
2023-06-09,426.86,428.88,425.78,426.80,-97410000
2023-06-12,427.82,430.75,427.07,430.67,385080000
2023-06-13,432.18,434.18,431.50,433.51,-19820000
2023-06-14,433.86,435.90,430.47,434.03,-345540000
2023-06-15,433.19,440.70,433.09,439.41,654820000
2023-06-16,441.46,442.05,437.43,437.92,9810000
2023-06-20,435.91,436.83,433.50,435.64,161620000
2023-06-21,434.63,435.45,432.80,433.41,419280000
2023-06-22,432.42,435.09,432.08,434.98,314890000
2023-06-23,431.41,433.53,430.95,431.69,-446310000
2023-06-26,431.10,433.08,429.67,429.92,289260000
2023-06-27,430.83,435.27,430.36,434.64,98500000
2023-06-28,433.52,435.90,432.88,434.86,178700000
2023-06-29,434.43,436.74,434.01,436.57,325510000
2023-06-30,439.89,442.74,439.56,441.72,-35690000
2023-07-03,441.36,442.52,441.07,442.23,-29280000
2023-07-05,440.36,442.33,440.35,441.57,203480000
2023-07-06,437.88,438.55,435.52,438.11,-120070000
2023-07-07,437.09,441.08,436.76,437.01,-311490000
2023-07-10,436.64,438.29,436.05,438.11,297070000
2023-07-11,438.90,441.41,437.90,440.90,505660000
2023-07-12,444.82,445.91,443.35,444.45,361880000
2023-07-13,446.33,448.80,445.88,447.98,159290000
2023-07-14,448.89,449.77,446.91,447.70,-139780000
2023-07-17,447.55,450.34,447.50,449.26,-318050000
2023-07-18,448.92,453.26,448.47,452.59,703480000
2023-07-19,453.41,454.83,452.52,453.60,307710000
2023-07-20,452.57,453.50,449.85,450.59,-90290000
2023-07-21,452.36,452.57,450.58,450.59,-223450000
2023-07-24,451.78,453.44,450.71,452.60,4150000
2023-07-25,452.32,455.13,452.27,453.84,-298550000
2023-07-26,452.87,455.38,451.79,453.91,198850000
2023-07-27,457.41,457.82,449.96,450.90,64390000
2023-07-28,454.28,456.17,450.90,455.31,-442560000
2023-07-31,455.80,456.55,454.44,456.18,280230000
2023-08-01,454.67,455.64,453.89,454.88,21940000
2023-08-02,451.66,451.93,447.77,448.55,-449060000
2023-08-03,446.46,449.21,445.80,447.26,-348220000
2023-08-04,449.14,451.30,444.70,445.24,-58780000
2023-08-07,447.13,449.28,446.42,449.13,-33170000
2023-08-08,446.50,449.11,443.71,447.17,-64680000
2023-08-09,447.45,447.62,443.40,444.18,-604900000
2023-08-10,446.61,450.11,443.14,444.34,-53750000
2023-08-11,442.41,445.13,441.79,444.08,227980000
2023-08-14,443.14,446.53,442.82,446.53,158000000
2023-08-15,444.70,445.07,440.75,441.33,-522400000
2023-08-16,440.90,442.62,437.98,438.09,-371990000
2023-08-17,439.61,439.88,434.22,434.76,-667500000
2023-08-18,431.85,436.03,431.49,434.97,412870000
2023-08-21,436.01,438.56,433.79,437.80,283830000
2023-08-22,439.63,439.63,436.03,436.61,-378490000
2023-08-23,437.71,442.11,437.56,441.47,440080000
2023-08-24,443.13,443.65,435.32,435.35,-433270000
2023-08-25,437.14,439.75,433.47,438.42,-257050000
2023-08-28,440.69,441.84,438.43,441.20,31420000
2023-08-29,441.09,447.87,440.90,447.58,652340000
2023-08-30,447.93,450.08,447.20,449.42,507570000
2023-08-31,450.06,451.24,448.58,448.77,486870000
2023-09-01,451.58,452.08,448.10,449.60,-211830000
2023-09-05,449.15,449.47,447.59,447.66,-126760000
2023-09-06,446.82,446.93,442.25,444.65,-111120000
2023-09-07,441.55,443.98,441.19,443.29,586810000
2023-09-08,443.34,445.54,442.97,443.95,73670000
2023-09-11,446.66,447.19,444.90,446.87,44190000
2023-09-12,445.38,446.95,443.82,444.42,-58050000
2023-09-13,444.65,446.14,443.51,444.94,171620000
2023-09-14,447.49,449.49,446.14,448.78,848560000
2023-09-15,447.14,447.48,442.92,443.37,5430000
2023-09-18,443.05,444.97,442.56,443.63,-79520000
2023-09-19,442.68,443.29,439.94,442.71,-88730000
2023-09-20,444.01,444.44,438.43,438.64,-254870000
2023-09-21,435.70,435.97,431.23,431.39,-717480000
2023-09-22,432.45,434.10,429.99,430.42,-567980000
2023-09-25,429.17,432.27,428.72,432.23,320480000
2023-09-26,429.09,429.82,425.02,425.88,-306440000
2023-09-27,427.09,427.67,422.29,426.05,-215010000
2023-09-28,425.48,430.25,424.87,428.52,542310000
2023-09-29,431.67,431.85,425.91,427.48,999460000
2023-10-02,426.62,428.60,424.46,427.31,70240000
2023-10-03,425.06,427.37,420.18,421.59,-15050000
2023-10-04,422.07,425.43,420.56,424.66,-508000000
2023-10-05,424.36,425.37,421.17,424.50,-183080000
2023-10-06,421.97,431.13,420.60,429.54,223700000
2023-10-09,427.58,432.88,427.01,432.29,-112770000
2023-10-10,432.94,437.22,432.53,434.54,510350000
2023-10-11,435.64,436.58,433.18,436.32,341510000
2023-10-12,436.95,437.34,431.23,433.66,-54270000
2023-10-13,435.21,436.45,429.88,431.50,-481450000
2023-10-16,433.82,437.14,433.57,436.04,-303900000
2023-10-17,432.81,438.14,432.45,436.02,286200000
2023-10-18,434.19,435.18,429.09,430.21,-552830000
2023-10-19,430.95,432.82,425.73,426.43,-578530000
2023-10-20,425.98,426.54,421.08,421.19,-844680000
2023-10-23,419.61,424.45,417.80,420.46,-406350000
2023-10-24,422.65,424.82,420.74,423.63,174140000
2023-10-25,421.89,421.92,417.02,417.55,-173750000